"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"2","Outer","Eastern Barrier",3,1,"Acropora cf. subglabra",0,0,"B"
"3","Outer","Eastern Barrier",3,1,"Acropora cf. humilis",0.6,1,"B"
"4","Outer","Eastern Barrier",3,1,"Acropora cf. hyacinthus",0,0,"B"
"5","Outer","Eastern Barrier",3,1,"Acropora cf. muricata",0,0,"B"
"6","Outer","Eastern Barrier",3,1,"Acropora cf. tenuis",4.4,4,"B"
"7","Outer","Eastern Barrier",3,1,"Agariciidae",0,0,"B"
"8","Outer","Eastern Barrier",3,1,"Anacropora spinosa",0,0,"B"
"11","Outer","Eastern Barrier",3,1,"Fungiidae",0,0,"B"
"13","Outer","Eastern Barrier",3,1,"Goniastrea spp.",2.1,2,"B"
"16","Outer","Eastern Barrier",3,1,"Isopora cf. brueggemanni",0,0,"B"
"17","Outer","Eastern Barrier",3,1,"Lobophyllia spp.",0,0,"B"
"19","Outer","Eastern Barrier",3,1,"Montipora",5.2,4,"B"
"20","Outer","Eastern Barrier",3,1,"Other Lobophyllidae",0,0,"B"
"21","Outer","Eastern Barrier",3,1,"Other Merulinidae",2.1,2,"B"
"22","Outer","Eastern Barrier",3,1,"Other Pocillopora",0,0,"B"
"23","Outer","Eastern Barrier",3,1,"Other Scleractinia",0,0,"B"
"24","Outer","Eastern Barrier",3,1,"Pocillopora cf. damicornis",0,0,"B"
"25","Outer","Eastern Barrier",3,1,"Pocillopora cf. verrucosa",0,0,"B"
"26","Outer","Eastern Barrier",3,1,"Porites cf. cylindrica",0,0,"B"
"27","Outer","Eastern Barrier",3,1,"Porites Massive",3.4,2,"B"
"28","Outer","Eastern Barrier",3,1,"Porites cf. nigrescens",1,1,"B"
"29","Outer","Eastern Barrier",3,1,"Porites cf. rus",1.2,1,"B"
"31","Outer","Eastern Barrier",3,1,"Stylophora cf. pistillata",5.4,4,"B"
"33","Outer","Eastern Barrier",3,2,"Acropora cf. subglabra",0,0,"B"
"34","Outer","Eastern Barrier",3,2,"Acropora cf. humilis",0,0,"B"
"35","Outer","Eastern Barrier",3,2,"Acropora cf. hyacinthus",2.9,3,"B"
"36","Outer","Eastern Barrier",3,2,"Acropora cf. muricata",0,0,"B"
"37","Outer","Eastern Barrier",3,2,"Acropora cf. tenuis",4.3,5,"B"
"38","Outer","Eastern Barrier",3,2,"Agariciidae",0,0,"B"
"39","Outer","Eastern Barrier",3,2,"Anacropora spinosa",0,0,"B"
"42","Outer","Eastern Barrier",3,2,"Fungiidae",0,0,"B"
"44","Outer","Eastern Barrier",3,2,"Goniastrea spp.",0,0,"B"
"47","Outer","Eastern Barrier",3,2,"Isopora cf. brueggemanni",0,0,"B"
"48","Outer","Eastern Barrier",3,2,"Lobophyllia spp.",0,0,"B"
"50","Outer","Eastern Barrier",3,2,"Montipora",5.4,3,"B"
"51","Outer","Eastern Barrier",3,2,"Other Lobophyllidae",0,0,"B"
"52","Outer","Eastern Barrier",3,2,"Other Merulinidae",0,0,"B"
"53","Outer","Eastern Barrier",3,2,"Other Pocillopora",1.2,1,"B"
