"","Date","Site","Location","Depth_m","Temp_deg_C","SpCond_mS.cm","Salinity_PSS","HDO_mg.l","pH_units","Chl_ug.l","Turb_NTU","lat","long","SiteID","long2"
"1",2020-04-24,"Ulong Rock","Outer",1,30.16,52.42,34.37,6.91,8.03,2,0.35,7.292581,134.241208,"A",134.241208
"4",2020-04-24,"Falcon Reef","Lagoon",1,29.93,52.5,34.43,6.53,8.07,2.68,0.2,7.372594,134.387907,"E",134.387907
"7",2020-04-24,"Eastern Barrier","Outer",1,29.51,52.5,34.45,6.4,8.1,3.21,0.18,7.260378,134.522294,"B",134.522294
"10",2020-04-24,"Pats Dropoff","Outer",1,29.64,52.55,34.48,6.39,8.1,0.51,0.11,7.289667,134.5215,"C",134.5215
"13",2020-04-24,"Mutmelachel","Lagoon",1,29.74,52.46,34.41,5.68,7.98,2.8,0.27,7.306962,134.506323,"D",134.506323
"16",2020-04-24,"Venture Lake outside","Inner",1,31.05,52.4,34.32,5.82,7.84,4.98,0.19,7.319654,134.488449,"G",134.488449
"19",2020-04-24,"Venture Lake","Inner",1,31.07,52.11,34.11,5.4,7.67,9.01,0.16,7.31955,134.489742,"H",134.481
"22",2020-04-24,"Nikko Bay","Inner",1,30.79,52.25,34.23,6.17,7.96,5.24,0.12,7.32192,134.499672,"F",134.499672
"25",2020-01-20,"Ulong Rock","Outer",1,28.64,52.72,34.64,7.06,8.04,2.34,0.47,7.292581,134.241208,"A",134.241208
"28",2020-01-20,"Falcon Reef","Lagoon",1,28.84,52.6,34.54,6.43,8.03,0.79,0.11,7.372594,134.387907,"E",134.387907
"31",2020-01-20,"Eastern Barrier","Outer",1,28.99,52.85,34.72,7.18,8.16,1.52,0.4,7.260378,134.522294,"B",134.522294
"34",2020-01-20,"Pats Dropoff","Outer",1,29.33,52.78,34.66,7.53,8.17,1.05,0.4,7.289667,134.5215,"C",134.5215
"37",2020-01-20,"Mutmelachel","Lagoon",1,28.9,52.87,34.74,6.64,8.09,4.54,0.25,7.306962,134.506323,"D",134.506323
"40",2020-01-20,"Venture Lake outside","Inner",1,29.98,52.35,34.32,6.22,7.86,16.57,0.28,7.319654,134.488449,"G",134.488449
"43",2020-01-20,"Venture Lake","Inner",1,29.77,52.05,34.11,5.95,7.79,13.13,0.39,7.31955,134.489742,"H",134.481
"46",2020-01-20,"Nikko Bay","Inner",1,30.05,52.29,34.28,7.4,7.98,6.41,0.2,7.32192,134.499672,"F",134.499672
"49",2019-11-25,"Ulong Rock","Outer",1,30.53,52.27,34.25,7.54,8.14,0.06,0.2,7.292581,134.241208,"A",134.241208
"52",2019-11-25,"Falcon Reef","Lagoon",1,30.28,52.31,34.28,7.12,8.07,0.59,0.22,7.372594,134.387907,"E",134.387907
"55",2019-11-25,"Eastern Barrier","Outer",1,30.08,52.44,34.39,6.71,8.13,0.67,0.23,7.260378,134.522294,"B",134.522294
"58",2019-11-25,"Pats Dropoff","Outer",1,30,52.42,34.38,6.43,8.09,2.42,0.18,7.289667,134.5215,"C",134.5215
"61",2019-11-25,"Mutmelachel","Lagoon",1,30.73,51.93,33.99,7.01,8.02,1.25,0.35,7.306962,134.506323,"D",134.506323
"64",2019-11-25,"Venture Lake outside","Inner",1,30.89,51.63,33.76,5.84,7.86,5.17,0.34,7.319654,134.488449,"G",134.488449
"67",2019-11-25,"Venture Lake","Inner",1,30.75,51.01,33.31,5.65,7.77,7,0.26,7.31955,134.489742,"H",134.481
"70",2019-11-25,"Nikko Bay","Inner",1,30.77,51.2,33.45,6.19,7.96,6.84,0.97,7.32192,134.499672,"F",134.499672
"73",2019-10-22,"Ulong Rock","Outer",1,30.27,52.94,34.75,6.61,8.12,-0.59,0.08,7.292581,134.241208,"A",134.241208
"76",2019-10-22,"Falcon Reef","Lagoon",1,30.56,52.99,34.77,6.44,8.02,0.37,0.26,7.372594,134.387907,"E",134.387907
"79",2019-10-22,"Eastern Barrier","Outer",1,30.62,53.02,34.8,7.23,8.11,0.79,0.38,7.260378,134.522294,"B",134.522294
"81",2019-10-22,"Pats Dropoff","Outer",1,30.86,53.06,34.82,7.88,8.12,0.59,0.16,7.289667,134.5215,"C",134.5215
"84",2019-10-22,"Mutmelachel","Lagoon",1,31.13,52.94,34.72,8.22,8.07,1.48,0.39,7.306962,134.506323,"D",134.506323
"87",2019-10-22,"Venture Lake outside","Inner",1,31.69,52.51,34.38,6.12,7.81,4.06,0.33,7.319654,134.488449,"G",134.488449
"89",2019-10-22,"Venture Lake","Inner",1,31.27,52.18,34.16,6.1,7.81,6.21,0.28,7.31955,134.489742,"H",134.481
"90",2019-10-22,"Nikko Bay","Inner",1,31.35,52.14,34.12,6.46,7.96,4.03,0.13,7.32192,134.499672,"F",134.499672
