ID,Label,scanned_by,full_VOLmm3,full_SAmm2,live_VOLmm3,live_SAmm2,Mass_g,Notes
s7_pcyl_1,s7_pc1,mike,3341.4,1454.9,3111.1,1239,4.5,0.5res
s4b_pcyl_2,s4b_pc2,mike,1613.5,1011.6,NA,931.58,1.9,0.5res
s4b_pcyl_1,s4b_pc1,mike,10730.2,3072.2,10683.5,2909.5,12.4,0.5res
s4a_pcyl_1,s4a_pc1,mike,5371.7,2101.7,5257.3,1948.7,6.9,0.5res
s4b_pcyl_3,s4b_pc3,mike,3621.2,1688.7,3588.8,1613.7,4.2,0.5res
s4a_pcyl_3,s4a_pc3,mike,2132.5,1185.9,2099.1,1100.3,2.7,0.5res
s1b_pdam_1,s1b_pd1,mike,1480.3,1568.2,1474.33,1515.1,3.5,
s5_pcyl_4,s5_pcyl_4,mike,11915,3564,11820.4,3179.3,14.1,
s4a_pcyl_2,s4a_pcyl_2,mike,2514.7,1456.4,2497.3,1400.7,2.8,
s1_pcyl_5,s1_pcyl_5,mike,2515.7,1478.2,2509.7,1401.95,2.8,
s5_pcyl_3,s5_pcyl_3,mike,3244.6,1509.5,3221.3,1388.3,3.6,
s3_pcyl_4,s3_pcyl_4,mike,2969.8,1698.9,2942.5,1616.8,3.5,
s1_pcyl_3,s1_pcyl_3,mike,2030.5,1170.8,2017.73,1114.7,2.2,
s1_pcyl_1,s1_pcyl_1,mike,5630.1,2265.6,5618.8,2128.4,6.5,
s3_pcyl_2,s3_pcyl_2,mike,2863.9,1590.4,2865.1,1481.2,3.3,
s1_pcyl_4,s1_pcyl_4,mike,2935.2,1426.2,2913.3,1353.2,3.4,
s7_pnig_2,s7_pn2,mike,1893.5,1248.1,1868.3,1181.7,2.4,
s7_pnig_1,s7_pnig_1,mike,1024.6,820,1011,767.9,1.5,
s5_pcyl_5,s5_pcyl_5,mike,2844.4,1416,2797.2,1303.8,4,Mislabelled s5_pcyl_3
s5_pcyl_1,s5_pc1,mike,2654.5,1388.3,2639.2,1298.6,3.1,
s3_pcyl_1,s3_pcyl_1,mike,4691.6,1390,4635.1,1783.8,5.9,
s1_poc_2,s1_poc_2,mike,2511.1,2750.6,2507.2,2709.6,6.7,
s1_poc_3,s1_poc_3,mike,2104,2251.9,2101.9,2216.4,5.2,
s2_pdam_2,s2_pd2,mike,12586.8,8153.6,11991.4,7733.7,22.3,
s2_pdam_1,s2_pd1,mike,12338.7,9645.4,12340,9428.3,25,holes
s2_pcyl_3,s2_pc2,mike,5372,2459.2,5366.9,2327.3,5.6,
s1_poc_1,s1_poc_1,mike,3436.4,3745.6,3413.5,3568.4,8.8,holes
s2_pdam_3,s2_pd3,mike,3395.6,3269.5,3416.4,3180.4,8.4,holes
s2_brug_2,s2_brug_2,mike,4106.1,2065.6,4067.5,1961.1,6.3,
s1_brug_2,s1_br2,mike,2324.5,1511.6,2313.5,1444.4,3.3,
s3_brug_1,s3_brug_1,mike,2926,1907.9,2907.9,1843.6,4.3,
s3_brug_4,s3_brug_4,mike,6461.7,3604.7,6395.1,3485.7,9.3,
s3_brug_3,s3_brug_3,mike,3359.8,2092.8,3345.3,2014.4,4.9,
s1_brug_1,s1_brug_1,mike,2175.1,1573.4,2149.4,1512.2,2.9,
s4a_brug_1,s4a_brug_1,mike,2233.73,1655.3,2211.1,1579.4,3.1,
s4a_brug_2,s4a_br2,mike,2566.4,1894.2,2559.7,1844.9,3.3,
s2_brug_1,s2_br1,mike,11080.5,4392.9,11001.4,4155.6,16.5,
s2_brug_3,s2_br3,mike,5340.8,3033.4,5331.2,2931.1,7,
s3_brug_2,s3_brug_2,mike,2073,1562.7,2045.7,1485.9,3.3,
s4a_brug_3,s4a_brug_3,mike,4253.9,2692.6,4228.4,2604.2,6,
s1_brug_3,s1_brug_3,mike,6368.2,3851,6350.1,3738.5,9.5,
s1b_brug_1,s1b_brug_1,mike,2246.2,1275.1,2222.6,1177.7,3.4,
s3_prus_1,s3_pr1,mike,2562.3,1503.1,2556.2,1471.3,3,
s1_prus_5,s1_pr5,mike,3324.5,1733.7,3293.1,1575.5,3.2,
s2_prus_2,s2_prus_2,mike,7400.4,3201,7406.2,3106.4,9.2,
s3_prus_3,s3_pr3,mike,7344.8,3222.9,7268,3096,9.8,
s1_prus_2,s1_prus_2,mike,7090.5,3015.7,7068.1,2941,6.6,
s5_prus_3,s5_prus_3,mike,4491.8,2251.4,4498.5,2096.6,5.5,
s2_prus_1,s2_prus_1,mike,10052.7,4928.4,9970.2,4729.3,12.7,
s4b_prus_3,s4b_pr3,mike,1180.55,898.8,1218.6,664.8,1.2,
s1_prus_3,s1_prus_3,mike,902.6,724.3,896.8,670.1,1,
s1_prus_1,s1_prus_1,mike,5008.24,2307,4794.4,2068.3,5,
s4a_prus_3,s4a_prus_3,mike,3172.1,1841.7,3165.5,1801.8,3.3,
s2_prus_3,s2_pr3,mike,7481.4,3321,7434,3215.5,10.2,holes
s7_prus_1,s7_prus_1,mike,2805.3,1677.3,2786,1583.2,4.2,"whole, duplicate, could be prus_2"
s5_prus_4,s5_prus_4,mike,1583.95,1157.6,1582,1027.8,2,
s7_prus_2,s7_prus_2,mike,2785.3,1445.6,1736.6,844.1,3.3,"half, duplicate, could be prus_1"
s4b_prus_4,s4b_prus_4,mike,897.3,755.7,884.5,704.3,0.9,broken
s4b_prus_1,s4b_prus_1,mike,2273.4,1407.4,2302.3,1185.2,2.5,broken
s1_goni_3,s1_g3,mike,63613.8,14333.2,45271.1,9165.8,99.1,
s4b_goni_1,s4b_goni_1,mike,37096.3,7899.2,32021.4,5932,62.7,
s4a_goni_2,s4a_goni_2,mike,34625.4,8015.7,24753,5206,60.6,
s2_goni_1,s2_goni_1,mike,29722.3,8365.6,25843.3,5193,51.1,
s1b_goni_1,s1b_goni_1,mike,20900.6,5523.7,20069.1,4310.2,33.4,
s1_goni_2,s1_g2,mike,62265.8,12753.3,NA,6201.2,91,rocky
s6_goni_3,s6_goni_3,mike,22978.6,5639.7,8959.6,2528.5,38.8,
s4a_goni_1,s4a_goni_1,mike,11543.1,3862.9,9963.7,2441.9,18.6,large holes
s4b_goni_2,s4b_goni_2,mike,23918.6,6054.8,20277.7,4357.2,37.8,worst mesh
s3_stag_2,s3_stag_2,mike,1212.1,1500.6,1206.7,1474.2,1.5,
s1_stag_1,s1_stag_1,mike,1870,1988.5,1863.5,1949.8,3,
s2_stag_2,s2_stag_2,mike,2398.6,2808.7,2388.7,2744,3.8,
s5_stag_2,s5_stag_2,mike,590.1,1075.1,584.7,1057.9,0.8,
s5_stag_1,s5_stag_1,mike,1011.7,1762.3,1006.5,1742.4,1.4,
s6_hum_2,s6_hum_2,mike,5091.3,3170.8,4954.4,2994.9,9.5,
s6_hum_1,s6_hum_1,mike,2677.8,2012.5,2543.6,1840,5.2,
s5_prus_1,s5_prus_1,mike,3225.7,1906.3,3258.8,1742.6,3.9,
s2_stag_1,s2_stag_1,mike,1844,2075.7,1835.1,2036.8,2.7,
s2_stag_4,s2_stag_4,mike,3278.9,4081.6,3270.9,4031.7,4.8,
s4a_anac_1,s4a_anac_1,mike,354.5,579.7,352.7,570.6,0.4,
s4a_anac_2,s4a_anac_2,mike,327.9,526.2,327.2,517.7,0.3,
s1b_goni_2,s1b_goni_2,mike,6526.8,2414.2,NA,1471.1,11.9,
s3_pdam_1,s3_pdam_1,lizzy,2320.9,2976.5,2313.7,2948.4,5.5,
s1_acrop_2,s1_acrop_2,lizzy,1391.9,2264.2,1394,2237.2,2.1,
s3_stag_1,s3_stag_1,lizzy,1520.55,1441.8,1512.2,1408.9,2.4,
s2_stag_3,s2_stag_3,lizzy,1711.8,2357.7,1699.6,2316.6,2.7,
s3_stag_3,s3_stag_3,lizzy,1578.9,2072.2,1565.7,2030.8,2.4,
s6_pdam_1,s6_pdam_1,lizzy,5951.5,4614.6,5927.9,4510.8,12.8,
s5_pdam_1,s5_pdam_1,lizzy,1759.31,1617.9,1754.4,1577.1,3.9,
s1b_lobo_5,s1b_lobo_5,mike,11799.9,4919.5,8869.2,3715,20.7,
s1b_lobo_3,s1b_lobo_3,mike,4498.2,2077.4,2468.5,1256.8,6.4,
s4b_lobo_1,s4b_lobo_1,mike,9115,4427.6,6126.3,3294.2,17.4,
s4b_card_1,s4b_card_1,mike,3671.5,4448.8,3661.6,4416.5,6.3,
s4a_pdam_3,s4a_pdam_3,mike,2593.3,3147.3,2583.5,3095.2,6.9,
s7_pdam_2,s7_pdam_2,mike,1654.6,1616.5,1649.5,1580.9,3.8,
s7_pdam_3,s7_pdam_3,mike,1295.4,1265.4,1269.8,1186.5,3,
s4a_pdam_1,s4a_pdam_1,mike,1583.3,2140.9,1589.2,2089.3,4,
s4b_lobo_2,s4b_lobo_2,mike,16628.7,5775.7,8737.9,3511.8,26.2,
s7_styl_2,s7_sty_2,mike,5467.4,2573.3,5422.1,2428.1,9.2,
s7_styl_1,s7_sty_1,mike,5597.99,2307.2,5439.3,2077.2,7.2,
s4a_pdam_4,s4a_pdam_4,mike,1656.3,1842.2,1643.8,1799.9,4,
s3_pdam_3,s3_pdam_3,mike,2849.2,3028.1,2822.7,2951.7,7,
s4b_card_2,s4b_card_2,mike,715.9,902.5,710.3,881,1.3,
s4a_card_1,s4a_card_1,mike,1479.6,1709.5,1473.5,1671.2,2.7,
s3_card_4,s3_card_x,mike,884,1548.9,881.8,1531,1.3,
s3_pdam_2,s3_pdam_2,mike,1584.5,2296.8,1583.2,2283.2,3.9,"holes, Label: ?pdam?"
s4a_card_2,s4a_card_2,mike,1577.4,2338.2,1572.5,2305.3,2.2,
s5_card_1,s5_card_1,mike,1179.9,2072.5,1173.9,2051.7,2.3,
s4a_card_3,s4a_card_3,mike,2584.6,3029.7,2564.1,2975.7,4.6,
s5_pdam_4,s5_pdam_4,mike,4226.1,3902.7,4205.1,3841.2,10.2,
s5_card_3,s5_card_3,mike,1538.9,2655.3,1533.8,2629.3,2.7,
s4a_pdam_2,s4a_pdam_2,mike,2345.6,2606.3,2343.2,2573.6,6.2,
s7_pdam_1,s7_pdam_1,mike,1309.2,1358.2,1299.1,1316.9,3.1,
s1_lobo_1,s1_lobo_1,mike,7485.2,3731.9,3791.4,2292.5,12.3,
s1b_lobo_4,s1b_lobo_4,mike,10165.6,3984.2,5418.4,2578,14.2,
s1b_lobo_1,s1b_lobo_1,mike,8483.9,3882.7,2692.6,1915.1,10.2,"broken, hole in sample"
s3_card_1,s3_card_1,mike,1391.2,2118.1,1387.8,2094.2,2.6,
s5_card_2,s5_card_2,mike,1800.5,2434.6,1796.4,2402.2,3.6,
s5_pdam_3,s5_pdam_3,mike,1683.3,2124.1,1680.2,2091.4,4.4,
