Location,Site,Circle,Transect,Species,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acanthastrea,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acropora cf. subglabra,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acropora cf. humilis,6,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acropora cf. hyacinthus,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acropora cf. muricata,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Acropora cf. tenuis,12,12,6,14,,,,,,,
Outer,Eastern Barrier,3,1,Agariciidae,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Anacropora spinosa,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Astreopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Echinopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Fungiidae,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Galaxea,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Goniastrea spp.,11,10,,,,,,,,,
Outer,Eastern Barrier,3,1,Goniopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Isopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Isopora cf. brueggemanni,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Lobophyllia spp.,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Millepora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Montipora,11,15,3,23,,,,,,,
Outer,Eastern Barrier,3,1,Other Lobophyllidae,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Other Merulinidae,12,9,,,,,,,,,
Outer,Eastern Barrier,3,1,Other Pocillopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Other Scleractinia,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Pocillopora cf. damicornis,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Pocillopora cf. verrucosa,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Porites cf. cylindrica,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Porites Massive,15,19,,,,,,,,,
Outer,Eastern Barrier,3,1,Porites cf. nigrescens,10,,,,,,,,,,
Outer,Eastern Barrier,3,1,Porites cf. rus,12,,,,,,,,,,
Outer,Eastern Barrier,3,1,Seriatopora,,,,,,,,,,,
Outer,Eastern Barrier,3,1,Stylophora cf. pistillata,21,5,15,13,,,,,,,
Outer,Eastern Barrier,3,2,Acanthastrea,,,,,,,,,,,
Outer,Eastern Barrier,3,2,Acropora cf. subglabra,,,,,,,,,,,
Outer,Eastern Barrier,3,2,Acropora cf. humilis,,,,,,,,,,,
Outer,Eastern Barrier,3,2,Acropora cf. hyacinthus,8,11,10,,,,,,,,
