Tray,ID,top,1_Glass,2_freeze_dried,3_furnace,Notes,Total Weight,Ash Weight,AFDW_5ml,Total AFDW
C1_single,s3_ten_2,,13.231,13.396,13.361,,0.165,0.13,0.035,0.07
C1_single,s6_goni_2,,13.243,13.436,13.404,,0.193,0.161,0.032,0.064
C1_single,s3_card_4,,13.246,13.42,13.379,,0.174,0.133,0.041,0.082
C1_single,s3_card_3,,13.218,13.425,13.371,,0.207,0.153,0.054,0.108
C1_single,s7_pnig_1,,13.262,13.445,13.405,,0.183,0.143,0.04,0.08
C1_single,s4b_prus_1,,13.24,13.455,13.405,,0.215,0.165,0.05,0.1
C1_single,s1b_brug_1,,13.238,13.403,13.367,,0.165,0.129,0.036,0.072
C1_single,s3_prus_3,,13.283,13.387,13.362,,0.104,0.079,0.025,0.05
C1_single,s4b_prus_4,,13.243,13.42,13.381,,0.177,0.138,0.039,0.078
C1_single,s2_goni_1,,13.232,13.41,13.368,,0.178,0.136,0.042,0.084
C1_single,s3_brug_4,,13.242,13.443,13.394,,0.201,0.152,0.049,0.098
C1_single,s5_prus_4,,13.266,13.424,13.389,,0.158,0.123,0.035,0.07
C1_single,s1_prus_1,,13.238,13.432,13.388,,0.194,0.15,0.044,0.088
C1_single,s1b_goni_1,,13.278,13.517,13.455,,0.239,0.177,0.062,0.124
C1_single,s3_prus_1,,13.293,13.484,13.443,,0.191,0.15,0.041,0.082
C1_single,s6_goni_3,,13.217,13.368,13.332,,0.151,0.115,0.036,0.072
C1_single,s1_prus_3,,13.264,13.448,13.411,,0.184,0.147,0.037,0.074
C1_single,s1_goni_2,,13.242,13.426,13.36,,0.184,0.118,0.066,0.132
C1_single,s3_ten_4,,13.332,13.527,13.498,,0.195,0.166,0.029,0.058
C1_single,s1b_lobo_1,,13.205,13.359,13.316,,0.154,0.111,0.043,0.086
C1_single,s3_brug_3,,13.286,13.441,13.42,,0.155,0.134,0.021,0.042
C1_single,s2_goni_1,,13.277,13.457,13.402,,0.18,0.125,0.055,0.11
C1_single,s3_card_1,,13.293,13.462,13.425,,0.169,0.132,0.037,0.074
C1_single,s6_hya_2,,13.25,13.422,13.383,,0.172,0.133,0.039,0.078
C1_single,s1b_lobo_5,,13.231,13.478,13.394,,0.247,0.163,0.084,0.168
C1_single,s1_goni_1,,13.31,13.443,13.401,,0.133,0.091,0.042,0.084
C1_single,s3_brug_1,,13.227,13.402,13.361,,0.175,0.134,0.041,0.082
C1_single,s3_brug_2,,13.194,13.348,13.314,,0.154,0.12,0.034,0.068
C1_single,s1b_lobo_4,,13.305,13.51,13.45,,0.205,0.145,0.06,0.12
C1_single,s4a_brug_2,,13.327,13.493,13.454,,0.166,0.127,0.039,0.078
C1_single,s3_stag_1,,13.328,13.421,13.391,,0.093,0.063,0.03,0.06
C1_single,s4b_card_1,,13.283,13.421,13.391,,0.138,0.108,0.03,0.06
C1_single,s3_hya_2,,13.224,13.41,13.374,,0.186,0.15,0.036,0.072
C1_single,s6_goni_1,,13.172,13.403,13.352,,0.231,0.18,0.051,0.102
C1_single,s4a_goni_2,,13.238,13.382,13.336,,0.144,0.098,0.046,0.092
C1_double,s4b_lobo_2,,13.332,13.53,13.477,,0.198,0.145,0.053,0.106
C1_double,s3_pcyl_1,,13.249,13.432,13.386,,0.183,0.137,0.046,0.092
C1_double,s4b_pcyl_3,,13.266,13.335,13.316,,0.069,0.05,0.019,0.038
C1_double,s4a_card_1,,13.304,13.476,13.439,,0.172,0.135,0.037,0.074
C1_double,s6_hya_3,,13.303,13.483,13.445,,0.18,0.142,0.038,0.076
C1_double,s4a_pdam_2,,14.804,14.951,14.913,,0.147,0.109,0.038,0.076
C1_double,s4a_brug_3,,14.955,15.097,15.063,,0.142,0.108,0.034,0.068
C1_double,s5_card_2,,15.006,15.156,15.124,,0.15,0.118,0.032,0.064
