Tray,Sample,ID
Plate 1,1,Acetone
Plate 1,2,s2_pcyl_3
Plate 1,3,s2_pver_2
Plate 1,4,s2_pdam_2
Plate 1,5,s2_brug_1
Plate 1,6,s2_ten_1
Plate 1,7,s2_stag_2
Plate 1,8,s2_ten_3
Plate 1,9,s2_stag_4
Plate 1,10,s2_card_1
Plate 1,11,s2_pdam_3
Plate 1,12,s2_pver_1
Plate 1,13,s2_stag_1
Plate 1,14,s2_prus_1
Plate 1,15,s2_hya_2
Plate 1,16,s2_stag_3
Plate 1,17,s2_hya_3
Plate 1,18,s2_pdam_1
Plate 1,19,s2_brug_2
Plate 1,20,s2_hya_1
Plate 1,21,s2_prus_2
Plate 1,22,s2_brug_3
Plate 1,23,s2_ten_2
Plate 1,24,s2_hya_4
Plate 1,25,Acetone
Plate 1,26,s2_pver_2
Plate 1b,1,Acetone
Plate 1b,2,s2_pcyl_3
Plate 1b,3,s2_pver_2
Plate 1b,4,s2_pdam_2
Plate 1b,5,s2_brug_1
Plate 1b,6,s2_ten_1
Plate 1b,7,s2_stag_2
Plate 1b,8,s2_ten_3
Plate 1b,9,s2_stag_4
Plate 1b,10,s2_card_1
Plate 1b,11,s2_pdam_3
Plate 1b,12,s2_pver_1
Plate 1b,13,s2_stag_1
Plate 1b,14,s2_prus_1
Plate 1b,15,s2_hya_2
Plate 1b,16,s2_stag_3
Plate 1b,17,s2_hya_2
Plate 1b,18,s2_pdam_1
Plate 1b,19,s2_brug_2
Plate 1b,20,s2_hya_1
Plate 1b,21,s2_prus_2
Plate 1b,22,s2_brug_3
Plate 1b,23,s2_ten_2
Plate 1b,24,s2_hya_4
Plate 1b,25,Acetone
Plate 1b,26,s2_pver_2
Plate 2,1,Acetone
Plate 2,2,s3_ten_4
Plate 2,3,s3_stag_3
Plate 2,4,s3_hya_1
Plate 2,5,s3_pcyl_1
Plate 2,6,s3_brug_1
Plate 2,7,s3_ten_2
Plate 2,8,s3_pcyl_3
Plate 2,9,Acetone
Plate 2,10,s3_pcyl_2
Plate 2,11,s3_ten_1
Plate 2,12,s3_brug_2
Plate 2,13,s3_brug_4
Plate 2,14,s4b_lobo_1
Plate 2,15,s3_pdam_2
Plate 2,16,s3_card_3
Plate 2,17,Acetone
