##BLOCKS= 2          																																							
Note:																																							
~End																																							
Plate:	Plate#1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						3	630 663 750	1	12	96	1	8	None																		
	Temperature(?C)	1	2	3	4	5	6	7	8	9	10	11	12		1	2	3	4	5	6	7	8	9	10	11	12		1	2	3	4	5	6	7	8	9	10	11	12
	26.5	0.1222	0.2433	0.2282	0.2079	0.0879	0.0855	0.1728	0.2185	0.2284	0.2138	0.2481	0.1462		0.0973	0.2141	0.2178	0.1951	0.0773	0.0802	0.1684	0.2016	0.2389	0.1925	0.2342	0.14		0.0862	0.1842	0.2011	0.1779	0.0657	0.0685	0.1684	0.184	0.243	0.155	0.2174	0.1359
		0.0572	0.0591	0.0587	0.1121	0.1165	0.1209	0.0503	0.0511	0.0512	0.1258	0.1303	0.1294		0.0914	0.0956	0.0947	0.2736	0.2876	0.2827	0.0762	0.0795	0.0798	0.3694	0.386	0.3835		0.0384	0.0381	0.0383	0.0381	0.0382	0.0427	0.037	0.0368	0.0375	0.0377	0.0377	0.0379
		0.1027	0.1058	0.1063	0.0719	0.0749	0.0753	0.0912	0.0933	0.0936	0.0639	0.0639	0.0653		0.2421	0.2528	0.2532	0.1505	0.1583	0.1586	0.2071	0.215	0.2151	0.1175	0.12	0.1231		0.0389	0.0371	0.0375	0.0366	0.0376	0.0381	0.0375	0.0373	0.0375	0.0378	0.0373	0.0377
		0.0624	0.0625	0.0638	0.1167	0.1181	0.117	0.0617	0.0666	0.0642	0.0849	0.0861	0.0864		0.1115	0.1152	0.1171	0.3262	0.3355	0.3309	0.1082	0.1156	0.113	0.1841	0.192	0.1909		0.0387	0.0379	0.0382	0.0389	0.0393	0.0386	0.0375	0.0411	0.0393	0.039	0.0371	0.0373
		0.0574	0.059	0.059	0.0599	0.0603	0.0616	0.2123	0.222	0.221	0.0598	0.0612	0.0596		0.1006	0.1073	0.1076	0.1047	0.106	0.1079	0.6212	0.6607	0.6536	0.1034	0.1078	0.1049		0.0383	0.0383	0.0376	0.0387	0.0389	0.039	0.0387	0.0382	0.0389	0.0389	0.0389	0.0375
		0.102	0.1061	0.1068	0.0818	0.0825	0.0817	0.2591	0.2753	0.2694	0.0656	0.0665	0.0669		0.2319	0.2447	0.2481	0.1689	0.1732	0.1721	0.819	0.8766	0.8556	0.1286	0.1337	0.133		0.038	0.038	0.0375	0.039	0.039	0.0385	0.0396	0.0392	0.0395	0.037	0.038	0.0375
		0.0964	0.1007	0.1012	0.0706	0.0582	0.0738	0.0594	0.0609	0.0672	0.0746	0.0747	0.0733		0.2327	0.2478	0.2498	0.1522	0.1045	0.1612	0.099	0.1023	0.1098	0.1544	0.1599	0.1571		0.0381	0.0375	0.0375	0.0378	0.0381	0.0383	0.0383	0.0381	0.0452	0.0411	0.0391	0.0381
		0.0579	0.0602	0.0621	0.1201	0.1254	0.1665	0.065	0.0607	0.0602	0.0663	0.0679	0.0775		0.1174	0.1261	0.1268	0.3072	0.3252	0.3604	0.1099	0.1073	0.1066	0.1246	0.1283	0.1375		0.0371	0.0386	0.0387	0.04	0.0404	0.0855	0.0444	0.0382	0.0381	0.0381	0.0407	0.0489
																																							
~End																																							
Original Filename: palau_chlorophyll_plate6.pda   Date Last Saved: 1/07/2019																																							
Instrument type: Instrument serial number:																																							
