,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
1,Site 1,IMG_1357,172.2,113,156.2,0.36,0.55,0.53,0.04,31,0.25,IMG_1358,5,2.79,2.4,2.17,25.07,26.43,pale_brown
2,Site 1,IMG_1359,53.3,99,53.3,0.3,0.35,0.42,0.04,39,0.25,IMG_1360,8,2.73,3.24,2.71,6.94,10.51,pale_brown
3,Site 1,IMG_1361,32.6,77,32.6,0.34,0.33,0.44,0.04,40,0.25,IMG_1362,6,2,1.95,2.26,4.81,7.2,brown
4,Site 1,IMG_1363,57.4,91,57.4,0.47,0.54,0.48,0.1,6,0.3,IMG_1364,9,0.8,1,1.5,8.6,7.7,brown
5,Site 1,IMG_1365,195,235,179,0.56,0.38,0.41,0.03,29,0.25,IMG_1366,4,0.34,0.53,0.52,12.7,13.6,brown
6,Site 1,IMG_1367,10.98,41,10.98,0.22,0.24,0.29,0.02,27,0.23,IMG_1368,2.8,0.7,0.89,0.92,2,3.3,yellow
7,Site 1,IMG_1369,10.72,38,10.72,0.08,0.13,0.07,0.01,10,0.2,IMG_1370,3.3,0.95,1.3,1.34,1,3.7,brown
8,Site 1,IMG_1371,33,62,33,0.5,0.4,0.34,0.04,28,0.25,IMG_1372,3.7,1.09,1.13,1.51,4,4.8,brown
9,Site 1,IMG_1373,44,107,44,0.33,0.39,0.41,0.04,27,0.25,IMG_1374,5,1.67,1.68,2.21,7.44,8.89,brown
10,Site 1,IMG_1375,147.1,117,25,0.16,0.15,0.16,0.03,10,0.25,IMG_1376,6.2,0.79,0.85,0.88,8,14.8,red_brown
11,Site 1,IMG_1377,18.7,80,18.7,0.21,0.2,0.16,0.03,8,0.25,IMG_1378,3,0.7,0.6,0.5,1,2.91,red_brown
12,Site 1,IMG_1379,31.1,37,31.1,0.38,0.4,0.38,0.03,17,0.25,IMG_1380,4.27,1.2,0.99,1.24,2.78,5.1,yellow
13,Site 1,IMG_1381,14,10,14,1.15,1.15,0.93,0.15,8,0.5,IMG_1382,4.89,1.98,2.15,1.56,3.81,3.52,red_brown
14,Site 1,IMG_1383,109.1,114,93.1,0.62,0.5,0.85,0.02,35,0.25,IMG_1384,5.23,1.25,1.35,1.88,9.57,12.07,brown
15,Site 1,IMG_1385,135.5,140,135.5,0.37,0.38,0.42,0.04,24,0.25,IMG_1386,5.24,0.93,0.87,0.98,5.04,6.05,yellow
16,Site 1,IMG_1387,18.8,32,18.8,0.35,0.34,0.37,0.06,11,0.3,IMG_1388,1.9,0.93,0.87,0.72,1.96,3.46,brown
17,Site 1,IMG_1389,35,15,35,1.43,1.51,1.36,0.16,10,0.5,IMG_1390,3.65,1.6,2.4,2.2,6.15,7.5,pale_brown
