##BLOCKS= 2          																					
Note:																					
~End																					
Plate:	Plate#1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	660	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	ROW!							
	26.3	0.0452	0.0466	0.0476	0.0513	0.0464	0.0531	0.24	0.2579	0.6799	0.6309	0.4576	0.4937	a							
		0.0385	0.0461	0.0469	0.0393	0.0453	0.0394	0.225	0.2313	0.2143	0.4495	0.2576	0.246	b							
		0.0434	0.0479	0.0474	0.0509	0.0403	0.0398	0.1637	0.149	0.1674	0.4185	0.4115	0.3638	c							
		0.0441	0.0458	0.0458	0.0514	0.0406	0.0473	0.1842	0.1899	0.1934	0.1796	0.1979	0.1991	d							
		0.049	0.0464	0.0509	0.0614	0.0806	0.0359	0.2682	0.2703	0.2673	0.2946	0.2764	0.2746	e							
		0.047	0.0487	0.0442	0.0447	0.042	0.0381	0.0895	0.0919	0.0948	0.5041	0.4979	0.5957	f							
		0.0397	0.053	0.0434	0.0499	0.0426	0.039	0.0935	0.0898	0.0919	0.9804	0.8572	1.1308	g							
		0.0393	0.0522	0.0475	0.036	0.0566	0.0454	0.0887	0.0874	0.091	1.6977	1.5963	1.4015	h							
																					
~End																					
Original Filename: mike_palau_protein_tray16Nflip.pda   Date Last Saved: 13/07/2019																					
Instrument type: Instrument serial number:																					
																					
		1	2	3	4	5	6	7	8	9	10	11	12								
		0.0393	0.0522	0.0475	0.036	0.0566	0.0454	0.0887	0.0874	0.091	1.6977	1.5963	1.4015	h							
		0.0397	0.053	0.0434	0.0499	0.0426	0.039	0.0935	0.0898	0.0919	0.9804	0.8572	1.1308	g							
		0.047	0.0487	0.0442	0.0447	0.042	0.0381	0.0895	0.0919	0.0948	0.5041	0.4979	0.5957	f							
		0.049	0.0464	0.0509	0.0614	0.0806	0.0359	0.2682	0.2703	0.2673	0.2946	0.2764	0.2746	e							
		0.0441	0.0458	0.0458	0.0514	0.0406	0.0473	0.1842	0.1899	0.1934	0.1796	0.1979	0.1991	d							
		0.0434	0.0479	0.0474	0.0509	0.0403	0.0398	0.1637	0.149	0.1674	0.4185	0.4115	0.3638	c							
		0.0385	0.0461	0.0469	0.0393	0.0453	0.0394	0.225	0.2313	0.2143	0.4495	0.2576	0.246	b							
		0.0452	0.0466	0.0476	0.0513	0.0464	0.0531	0.24	0.2579	0.6799	0.6309	0.4576	0.4937	a							
																					
																					
																					
																					
		12	1.4015	1.1308	0.5957	0.2746	0.1991	0.3638	0.246	0.4937											
		11	1.5963	0.8572	0.4979	0.2764	0.1979	0.4115	0.2576	0.4576											
		10	1.6977	0.9804	0.5041	0.2946	0.1796	0.4185	0.4495	0.6309											
		9	0.091	0.0919	0.0948	0.2673	0.1934	0.1674	0.2143	0.6799											
		8	0.0874	0.0898	0.0919	0.2703	0.1899	0.149	0.2313	0.2579											
		7	0.0887	0.0935	0.0895	0.2682	0.1842	0.1637	0.225	0.24											
		6	0.0454	0.039	0.0381	0.0359	0.0473	0.0398	0.0394	0.0531											
		5	0.0566	0.0426	0.042	0.0806	0.0406	0.0403	0.0453	0.0464											
		4	0.036	0.0499	0.0447	0.0614	0.0514	0.0509	0.0393	0.0513											
		3	0.0475	0.0434	0.0442	0.0509	0.0458	0.0474	0.0469	0.0476											
		2	0.0522	0.053	0.0487	0.0464	0.0458	0.0479	0.0461	0.0466											
		1	0.0393	0.0397	0.047	0.049	0.0441	0.0434	0.0385	0.0452											
																					
																					
																					
																					
																					
		12	11	10	9	8	7	6	5	4	3	2	1								
		1.4015	1.5963	1.6977	0.091	0.0874	0.0887	0.0454	0.0566	0.036	0.0475	0.0522	0.0393	h							
		1.1308	0.8572	0.9804	0.0919	0.0898	0.0935	0.039	0.0426	0.0499	0.0434	0.053	0.0397	g							
		0.5957	0.4979	0.5041	0.0948	0.0919	0.0895	0.0381	0.042	0.0447	0.0442	0.0487	0.047	f							
		0.2746	0.2764	0.2946	0.2673	0.2703	0.2682	0.0359	0.0806	0.0614	0.0509	0.0464	0.049	e							
		0.1991	0.1979	0.1796	0.1934	0.1899	0.1842	0.0473	0.0406	0.0514	0.0458	0.0458	0.0441	d							
		0.3638	0.4115	0.4185	0.1674	0.149	0.1637	0.0398	0.0403	0.0509	0.0474	0.0479	0.0434	c							
		0.246	0.2576	0.4495	0.2143	0.2313	0.225	0.0394	0.0453	0.0393	0.0469	0.0461	0.0385	b							
		0.4937	0.4576	0.6309	0.6799	0.2579	0.24	0.0531	0.0464	0.0513	0.0476	0.0466	0.0452	a							
