"","Tray","Sample","ID","Dye","Vol_ml","well","1","2","3","n","meanOD","m","b","r","Tray","Protein","well","Protein_b","rsq_b","Protein_mgml"
"F",1,1,"s4b_lobo_2","OLD_660",5,"1.1",0.2606,0.2803,0.288,1,0.2763,0.0252,0.065,0.93,"1",8.38492063492063,"1.1",7.00657894736842,0.945,7.69574979114453
"G",1,2,"s4b_pcyl_4","OLD_660",5,"1.2",0.1165,0.1131,0.118,2,0.115866666666667,0.0252,0.065,0.93,"1",2.01851851851852,"1.2",1.66995614035088,0.945,1.8442373294347
"H",1,3,"s4a_pcyl_1","OLD_660",4,"1.3",0.1101,0.1081,0.1119,3,0.110033333333333,0.0252,0.065,0.93,"1",1.78703703703704,"1.3",1.55043859649123,0.945,1.66873781676413
"A1",1,4,"s4b_lobo_1","OLD_660",5,"1.4",0.3224,0.333,0.3102,4,0.321866666666667,0.0252,0.065,0.93,"1",10.1931216931217,"1.4",8.5625,0.945,9.37781084656085
"B1",1,5,"s4b_card_1","OLD_660",5,"1.5",0.1401,0.1477,0.1408,5,0.142866666666667,0.0252,0.065,0.93,"1",3.08994708994709,"1.5",2.91447368421053,0.945,3.00221038707881
"C1",1,6,"s4a_card_3","OLD_660",5,"1.6",0.1071,0.1113,0.1117,6,0.110033333333333,0.0252,0.065,0.93,"1",1.78703703703704,"1.6",1.73793859649123,0.945,1.76248781676413
"D1",1,7,"s4a_pcyl_2","OLD_660",5,"1.7",0.1001,0.1029,0.0935,7,0.0988333333333333,0.0252,0.065,0.93,"1",1.34259259259259,"1.7",1.13815789473684,0.945,1.24037524366472
"E1",1,8,"s4a_anac_1","OLD_660",5,"1.8",0.0778,0.0807,0.0735,8,0.0773333333333333,0.0252,0.065,0.93,"1",0.489417989417989,"1.8",0.479166666666667,0.945,0.484292328042328
"F41",2,1,"s4a_pdam_3","OLD_660",5,"2.1",0.1674,0.1688,0.1738,1,0.17,0.0316,0.067,0.907,"2",3.25949367088608,"2.1",NA,NA,3.25949367088608
"G41",2,2,"s4a_brug_2","OLD_660",5,"2.2",0.0941,0.1013,0.0942,2,0.0965333333333333,0.0316,0.067,0.907,"2",0.934599156118143,"2.2",NA,NA,0.934599156118143
