Tray,Sample,ID,Dye,Vol_ml
1,1,s4b_lobo_2,OLD_660,5
1,2,s4b_pcyl_4,OLD_660,5
1,3,s4a_pcyl_1,OLD_660,4
1,4,s4b_lobo_1,OLD_660,5
1,5,s4b_card_1,OLD_660,5
1,6,s4a_card_3,OLD_660,5
1,7,s4a_pcyl_2,OLD_660,5
1,8,s4a_anac_1,OLD_660,5
2,1,s4a_pdam_3,OLD_660,5
2,2,s4a_brug_2,OLD_660,5
2,3,s4a_goni_1,OLD_660,5
2,4,s4b_pcyl_1,OLD_660,5
2,5,s4b_pcyl_2,OLD_660,5
2,6,s4b_goni_1,OLD_660,5
2,7,s4b_pcyl_3,OLD_660,5
3,1,s2_brug_2,OLD_660,5
3,2,s2_card_1,OLD_660,5
3,3,s2_pver_2,OLD_660,5
3,4,s2_ten_1,OLD_660,5
3,5,s2_stag_4,OLD_660,5
3,6,s2_ten_3,OLD_660,5
3,7,s2_stag_1,OLD_660,5
4,1,s4b_prus_3,OLD_660,5
4,2,s5_prus_1,OLD_660,5
4,3,s7_prus_1,OLD_660,5
4,4,s4a_pdam_1,OLD_660,5
4,5,s3_hya_2,OLD_660,5
4,6,s1_prus_5,OLD_660,5
4,7,s4b_goni_2,OLD_660,5
4,8,s4a_prus_3,OLD_660,5
4,9,s4a_card_1,OLD_660,5
4,10,s1_prus_3,OLD_660,5
4,11,s7_prus_1,OLD_660,5
5,1,s5_prus_4,OLD_660,5
5,2,s1_prus_1,OLD_660,5
5,3,s1_prus_2,OLD_660,5
5,4,s5_prus_3,OLD_660,5
5,5,s3_prus_1,OLD_660,5
5,6,s4b_prus_1,OLD_660,5
5,7,s3_prus_3,OLD_660,5
5,8,s4b_prus_4,OLD_660,5
5,9,s4a_pcyl_3,OLD_660,5
5,10,s4a_pdam_4,OLD_660,5
5,11,s4a_brug_3,OLD_660,5
5,12,s4b_card_2,OLD_660,5
5,13,s4a_anac_2,OLD_660,5
5,14,s4a_card_2,OLD_660,5
5,15,s4a_pdam_2,OLD_660,5
5,16,s4a_brug_1,OLD_660,5
5,17,s3_stag_1,OLD_660,5
5,18,s2_hya_3,OLD_660,5
5,19,s2_stag_3,OLD_660,5
5,20,s2_prus_1,OLD_660,4
5,21,s3_ten_4,OLD_660,5
5,22,s3_card_4,OLD_660,5
5,23,s3_pcyl_1,OLD_660,5
5,24,s3_brug_1,OLD_660,5
5,25,s3_ten_2,OLD_660,5
5,26,s3_card_3,OLD_660,5
5,27,s3_stag_3,OLD_660,5
6,1,s3_brug_4,OLD_660,5
6,2,s3_brug_2,OLD_660,5
6,3,s3_card_1,OLD_660,5
6,4,s3_brug_3,OLD_660,4
6,5,s3_ten_1,OLD_660,5
6,6,s3_stag_2,OLD_660,5
