Date,Site.N,Site,Location,Bag,Genus,Species,Species_TB,Plot,Photo.1,Photo.2,Tag,ID,Dewer
09/02/2019,Site 1,Nikko Bay,Inner,21,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1375,IMG_1376,1,s1_acrop_1,white
09/02/2019,Site 1,Nikko Bay,Inner,24,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,2,IMG_1391,IMG_1392,2,s1_acrop_2,white
09/02/2019,Site 1,Nikko Bay,Inner,22,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1377,IMG_1378,3,s1_acrop_3,white
09/02/2019,Site 1,Nikko Bay,Inner,19,Anacropora,Anacropora spinosa,Anacropora spinosa,1,IMG_1369,IMG_1370,1,s1_anac_1,white
09/02/2019,Site 1,Nikko Bay,Inner,18,Anacropora,Anacropora spinosa,Anacropora spinosa,1,Bridge_4944,NA,2,s1_anac_2,white
09/02/2019,Site 1,Nikko Bay,Inner,25,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,2,IMG_1398,IMG_1399,1,s1_brug_1,white
09/02/2019,Site 1,Nikko Bay,Inner,15,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1363,IMG_1364,2,s1_brug_2,white
09/02/2019,Site 1,Nikko Bay,Inner,16,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,2,IMG_1387,IMG_1388,3,s1_brug_3,white
09/02/2019,Site 1,Nikko Bay,Inner,15,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1402,IMG_1403,1,s1_goni_1,red
09/02/2019,Site 1,Nikko Bay,Inner,23,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,2,IMG_1389,IMG_1390,2,s1_goni_2,red
09/02/2019,Site 1,Nikko Bay,Inner,20,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1381,IMG_1382,3,s1_goni_3,red
09/02/2019,Site 1,Nikko Bay,Inner,1,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1357,IMG_1358,1,s1_pcyl_1,white
09/02/2019,Site 1,Nikko Bay,Inner,2,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1359,IMG_1360,2,s1_pcyl_2,white
