Date,Site,Location,Depth_m,Temp_deg_C,SpCond_mS.cm,Salinity_PSS,HDO_mg.l,pH_units,Chl_ug.l,Turb_NTU,lat,long,Notes
2020_04_24,Ulong Rock,Outer,1,30.16,52.42,34.37,6.91,8.03,2,0.35,7.292581,134.241208,Tide: High at 7:52 AM and Low at 2:29 PM
2020_04_24,Ulong Rock,Outer,5,29.34,52.6,34.53,6.95,8.05,2.13,0.36,7.292581,134.241208,Turbidity calibrated at 0 and 100NTU standard
2020_04_24,Ulong Rock,Outer,10,29.32,52.67,34.58,6.64,8.05,1.26,0.25,7.292581,134.241208,
2020_04_24,Falcon Reef,Lagoon,1,29.93,52.5,34.43,6.53,8.07,2.68,0.2,7.372594,134.387907,
2020_04_24,Falcon Reef,Lagoon,5,29.86,52.39,34.36,6.54,8.06,2.87,0.15,7.372594,134.387907,
2020_04_24,Falcon Reef,Lagoon,10,29.82,52.54,34.47,6.55,8.06,2.04,0.19,7.372594,134.387907,
2020_04_24,Eastern Barrier,Outer,1,29.51,52.5,34.45,6.4,8.1,3.21,0.18,7.260378,134.522294,
2020_04_24,Eastern Barrier,Outer,5,29.5,52.6,34.52,6.35,8.09,1.45,0.26,7.260378,134.522294,
2020_04_24,Eastern Barrier,Outer,10,29.42,52.57,34.5,6.37,8.1,1.05,0.19,7.260378,134.522294,
2020_04_24,Pats Dropoff,Outer,1,29.64,52.55,34.48,6.39,8.1,0.51,0.11,7.289667,134.5215,
2020_04_24,Pats Dropoff,Outer,5,29.54,52.62,34.54,6.37,8.09,1.97,0.11,7.289667,134.5215,
2020_04_24,Pats Dropoff,Outer,10,29.45,52.7,34.6,6.39,8.1,1.64,0.14,7.289667,134.5215,
2020_04_24,Mutmelachel,Lagoon,1,29.74,52.46,34.41,5.68,7.98,2.8,0.27,7.306962,134.506323,
2020_04_24,Mutmelachel,Lagoon,5,29.7,52.49,34.44,5.7,7.98,2.02,0.29,7.306962,134.506323,
2020_04_24,Mutmelachel,Lagoon,10,29.53,52.45,34.42,5.52,7.99,3.33,0.24,7.306962,134.506323,
2020_04_24,Venture Lake outside,Inner,1,31.05,52.4,34.32,5.82,7.84,4.98,0.19,7.319654,134.488449,
2020_04_24,Venture Lake outside,Inner,5,30.86,52.33,34.28,5.51,7.83,6.28,0.21,7.319654,134.488449,
2020_04_24,Venture Lake outside,Inner,10,30.82,52.4,34.33,5.21,7.8,9.36,0.27,7.319654,134.488449,
2020_04_24,Venture Lake,Inner,1,31.07,52.11,34.11,5.4,7.67,9.01,0.16,7.31955,134.489742,
2020_04_24,Venture Lake,Inner,5,31.1,52.17,34.15,5.37,7.67,8.03,0.21,7.31955,134.489742,
