Slice,Auto_Count,Total Area,Average Size,%Area,Mean,TC1_conservative,TC2_generous,TC3_triplecheck,zoox,,
IMG00000.JPG,68,2679,39.397,0.413,0,57,54,,55.5,,
IMG00001.JPG,55,2313,42.055,0.363,0,43,43,,43,,
IMG00002.JPG,45,1930,42.889,0.306,0,37,37,,37,,
IMG00003.JPG,47,1519,32.319,0.237,0,48,51,,49.5,,
IMG00004.JPG,50,1765,35.3,0.276,0,48,49,,48.5,,
IMG00005.JPG,46,1080,23.478,0.168,0,56,52,60,54,58,
IMG00006.JPG,44,2320,52.727,0.364,0,73,66,,69.5,,
IMG00007.JPG,41,1595,38.902,0.248,0,57,45,,51,,
IMG00008.JPG,44,1487,33.795,0.232,0,43,49,44,46,,
IMG00009.JPG,38,1372,36.105,0.217,0,32,38,,35,,
IMG00010.JPG,53,1484,28,0.227,0,45,50,49,47.5,,
IMG00011.JPG,98,3571,36.439,0.553,0,67,74,61,70.5,,
IMG00012.JPG,91,3557,39.088,0.552,0,51,54,,52.5,,
IMG00013.JPG,107,4096,38.28,0.637,0,61,69,,65,,
IMG00014.JPG,112,4240,37.857,0.651,0,68,63,,65.5,,
IMG00015.JPG,82,3235,39.451,0.506,0,71,60,,65.5,,
IMG00016.JPG,79,2370,30,0.373,0,48,64,79,56,,
IMG00017.JPG,97,3776,38.928,0.591,0,113,115,,114,,
IMG00018.JPG,76,2544,33.474,0.398,0,99,100,,99.5,,
IMG00019.JPG,116,4058,34.983,0.634,0,135,141,,138,,
IMG00020.JPG,75,2949,39.32,0.457,0,105,110,,107.5,,
IMG00021.JPG,86,2648,30.791,0.409,0,118,123,,120.5,,
IMG00022.JPG,87,3035,34.885,0.475,0,114,116,,115,,
IMG00023.JPG,139,5078,36.532,0.784,0,215,211,,213,,
IMG00024.JPG,186,7078,38.054,1.101,0,266,270,,268,,
IMG00025.JPG,168,6691,39.827,1.039,0,249,276,,262.5,,
IMG00026.JPG,182,7918,43.505,1.239,0,256,266,,261,,
IMG00027.JPG,183,6503,35.536,1.009,0,286,297,,291.5,,
IMG00028.JPG,125,4457,35.656,0.701,0,193,194,,193.5,,
IMG00029.JPG,244,15280,62.623,2.382,0,270,276,,273,super blury,
IMG00030.JPG,267,13972,52.33,2.18,0,274,300,,287,,
IMG00031.JPG,336,14607,43.473,2.282,0,294,339,,316.5,,
IMG00032.JPG,256,10315,40.293,1.561,0,277,281,,279,,
IMG00033.JPG,194,8638,44.526,1.327,0,225,238,,231.5,,
IMG00034.JPG,229,8974,39.188,1.406,0,224,243,,233.5,,
IMG00035.JPG,230,9593,41.709,1.459,0,244,251,,247.5,,
IMG00036.JPG,263,11023,41.913,1.718,0,259,271,,265,,
IMG00037.JPG,207,10601,51.213,1.665,0,229,233,,231,,
IMG00038.JPG,206,7629,37.034,1.188,0,219,221,,220,,
IMG00039.JPG,297,11653,39.236,1.83,0,264,278,,271,,
IMG00040.JPG,317,10867,34.281,1.696,0,280,273,,276.5,,
IMG00041.JPG,51,1959,38.412,0.305,0,46,51,,48.5,,
IMG00042.JPG,43,2856,66.419,0.439,0,33,38,,35.5,,
IMG00043.JPG,3,44,14.667,0.007,0,41,47,,44,blurry image,
IMG00044.JPG,36,1089,30.25,0.169,0,33,44,,38.5,,
IMG00045.JPG,8,223,27.875,0.035,0,40,44,,42,,
IMG00046.JPG,13,465,35.769,0.073,0,25,34,,29.5,,
IMG00047.JPG,119,5105,42.899,0.803,0,145,145,,145,,
IMG00048.JPG,124,5630,45.403,0.883,0,145,145,,145,same image at 00047,
IMG00049.JPG,116,4268,36.793,0.665,0,130,125,,127.5,,
IMG00050.JPG,107,3442,32.168,0.54,0,122,132,,127,,
IMG00051.JPG,108,4321,40.009,0.674,0,133,143,,138,,
IMG00052.JPG,128,5452,42.594,0.853,0,146,163,,154.5,,
IMG00053.JPG,187,8203,43.866,1.283,0,209,224,,216.5,check this one,
IMG00054.JPG,187,7851,41.984,1.236,0,213,224,,218.5,,
IMG00055.JPG,147,6756,45.959,1.072,0,198,213,,205.5,,
IMG00056.JPG,171,7295,42.661,1.153,0,216,234,,225,,
IMG00057.JPG,171,7623,44.579,1.197,0,225,233,,229,,
IMG00058.JPG,174,6593,37.891,1.046,0,229,246,,237.5,,
IMG00059.JPG,332,14716,44.325,2.274,0,288,303,,295.5,wrong hemocytometer section and very messy,
IMG00060.JPG,328,11780,35.915,1.834,0,369,375,,372,smudge,
IMG00061.JPG,373,14618,39.19,2.256,0,313,328,,320.5,,
IMG00062.JPG,335,16448,49.099,2.574,0,357,361,,359,messy,
IMG00063.JPG,469,19449,41.469,3.032,0,427,456,,441.5,,
IMG00064.JPG,342,14046,41.07,2.206,0,325,329,,327,,
IMG00065.JPG,115,4365,37.957,0.682,0,80,91,,85.5,,
IMG00066.JPG,71,4200,59.155,0.657,0,88,89,,88.5,,
IMG00067.JPG,123,4155,33.78,0.646,0,65,80,,72.5,,
IMG00068.JPG,161,6771,42.056,1.053,0,98,103,,100.5,,
IMG00069.JPG,131,4782,36.504,0.747,0,101,108,,104.5,,
IMG00070.JPG,97,3909,40.299,0.615,0,90,97,!,93.5,,
IMG00071.JPG,107,3500,32.71,0.548,0,94,100,,97,,
IMG00072.JPG,158,5995,37.943,0.939,0,104,110,,107,,
IMG00073.JPG,211,9417,44.63,1.425,0,218,210,,214,,
IMG00074.JPG,222,9740,43.874,1.525,0,201,217,,209,,
IMG00075.JPG,268,11039,41.19,1.723,0,239,254,,246.5,,
IMG00076.JPG,261,10719,41.069,1.655,0,226,230,,228,,
IMG00077.JPG,250,9792,39.168,1.508,0,220,220,,220,,
IMG00078.JPG,186,6630,35.645,1.031,0,159,163,,161,,
IMG00079.JPG,47,2594,55.191,0.404,0,43,44,,43.5,,
IMG00080.JPG,52,1427,27.442,0.223,0,42,44,,43,,
IMG00081.JPG,56,1641,29.304,0.259,0,33,39,,36,,
IMG00082.JPG,56,1637,29.232,0.257,0,39,47,,43,,
IMG00083.JPG,77,4432,57.558,0.708,0,45,53,,49,,
IMG00084.JPG,37,1116,30.162,0.17,0,30,42,,36,,
IMG00085.JPG,213,11315,53.122,1.775,0,199,221,,210,algae gloop,
IMG00086.JPG,310,11858,38.252,1.855,0,281,309,,295,mm,
IMG00087.JPG,313,19340,61.789,2.912,0,297,321,,309,mm,
IMG00088.JPG,235,13510,57.489,2.029,0,223,250,,236.5,mm,
IMG00089.JPG,237,8849,37.338,1.36,0,178,203,,190.5,mm,
IMG00090.JPG,132,4943,37.447,0.753,0,174,198,,186,mm,
IMG00091.JPG,386,17378,45.021,2.665,0,291,345,,318,mm,
IMG00092.JPG,391,13460,34.425,2.062,0,255,311,,283,mm,
IMG00093.JPG,289,12598,43.592,1.906,0,229,262,,245.5,mm,
IMG00094.JPG,308,11684,37.935,1.759,0,244,292,,268,mm,
IMG00095.JPG,284,11317,39.849,1.732,0,288,355,,321.5,mm,
IMG00096.JPG,331,12835,38.776,1.961,0,261,295,,278,mm,
IMG00097.JPG,480,20169,42.019,3.063,0,342,360,,351,mm very dirty,
IMG00098.JPG,535,27310,51.047,4.199,0,377,398,,387.5,mm,
IMG00099.JPG,502,20036,39.912,3.077,0,356,384,,370,mm,
IMG00100.JPG,451,19206,42.585,2.942,0,350,365,,357.5,mm,
IMG00101.JPG,227,7872,34.678,1.202,0,328,350,,339,mm,
IMG00102.JPG,527,20846,39.556,3.17,0,356,399,,377.5,mm,
IMG00103.JPG,242,9517,39.326,1.455,0,213,239,,226,mm,
IMG00104.JPG,251,9793,39.016,1.509,0,212,229,,220.5,mm,
IMG00105.JPG,166,6890,41.506,1.053,0,204,213,,208.5,mm,
IMG00106.JPG,243,10040,41.317,1.532,0,200,217,,208.5,mm,
IMG00107.JPG,209,7964,38.105,1.205,0,205,219,,212,mm,
